country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Armenia,ARM,Asia,Western Asia,2014,BiocapPerCap,0.353566421,0.261703193,0.093546309,0.01553377,0.061555927,0,0.78590562,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,BiocapTotGHA,1062873.662,786719.0275,281214.2271,46696.84057,185046.3447,0,2362550.102,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFConsPerCap,0.621757962,0.224414498,0.2526928,0.00646562,0.061555927,0.851708106,2.018594914,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFConsTotGHA,1869097.638,674623.6214,759632.4346,19436.62404,185046.3447,2560362.241,6068198.904,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFExportsPerCap,0.014419529,0.003687908,0.00015244,0.007167839,0,0.129796925,0.155224641,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFExportsTotGHA,43347.26613,11086.40278,458.2572457,21547.59998,0,390189.0135,466628.5397,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFImportsPerCap,0.28261107,0.056322961,0.054887805,0.013070564,0,0.363773743,0.770666144,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFImportsTotGHA,849571.2417,169315.2651,165000.9684,39292.07413,0,1093558.403,2316737.953,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFProdPerCap,0.353566421,0.171779444,0.197957435,0.000562896,0.061555927,0.617731288,1.403153412,3827.34,3006000
Armenia,ARM,Asia,Western Asia,2014,EFProdTotGHA,1062873.662,516394.7591,595089.7235,1692.149887,185046.3447,1856992.851,4218089.491,3827.34,3006000
Afghanistan,AFG,Asia,Southern Asia,2014,BiocapPerCap,0.251691077,0.187020286,0.019240324,0,0.046125014,0,0.504076701,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,BiocapTotGHA,7960359.55,5914984.108,608523.3356,0,1458818.878,0,15942685.87,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFConsPerCap,0.313917307,0.186871411,0.070215378,0.000247764,0.046125014,0.154883189,0.772260062,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFConsTotGHA,9928419.62,5910275.544,2220736.852,7836.169394,1458818.878,4898568.052,24424655.11,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFExportsPerCap,0.007152728,0.001199285,0.000123955,0,0,0.002081499,0.010557467,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFExportsTotGHA,226222.9182,37930.37721,3920.390589,0,0,65832.61566,333906.3016,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFImportsPerCap,0.069378958,0.007700059,0.009605214,0.000199199,0,0.050324105,0.137207534,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFImportsTotGHA,2194282.988,243533.6012,303788.9092,6300.163333,0,1591625.629,4339531.291,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFProdPerCap,0.251691077,0.180370637,0.060734119,4.86E-05,0.046125014,0.106640583,0.645609995,610.242,31628000
Afghanistan,AFG,Asia,Southern Asia,2014,EFProdTotGHA,7960359.55,5704672.32,1920868.334,1536.006061,1458818.878,3372775.038,20419030.13,610.242,31628000
Albania,ALB,Europe,Southern Europe,2014,BiocapPerCap,0.395455656,0.21857232,0.315863091,0.081883656,0.039772281,0,1.051547003,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,BiocapTotGHA,1142740.274,631604.0454,912743.234,236617.5565,114929.1623,0,3038634.272,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFConsPerCap,0.650139557,0.238943601,0.29027192,0.025270675,0.039772281,0.897236602,2.141634637,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFConsTotGHA,1878695.23,690470.5285,838792.9431,73024.16352,114929.1623,2592726.604,6188638.631,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFExportsPerCap,0.010484772,0.001758779,0.014342522,0.011601622,0,0.128449374,0.166637068,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFExportsTotGHA,30297.63446,5082.3075,41445.29813,33524.97318,0,371177.5782,481527.7915,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFImportsPerCap,0.265168672,0.02213006,0.138694905,0.027324508,0,0.432165486,0.885483632,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFImportsTotGHA,766252.5908,63948.79056,400783.8834,78959.08382,0,1248819.933,2558764.281,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFProdPerCap,0.395455656,0.21857232,0.165919538,0.009547789,0.039772281,0.59352049,1.422788073,4413.56,2890000
Albania,ALB,Europe,Southern Europe,2014,EFProdTotGHA,1142740.274,631604.0454,479454.3578,27590.05289,114929.1623,1715084.249,4111402.141,4413.56,2890000
Algeria,DZA,Africa,Northern Africa,2014,BiocapPerCap,0.202869592,0.274074612,0.028272274,0.008251253,0.028062842,0,0.541530572,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,BiocapTotGHA,7898585.699,10670903.38,1100761.206,321256.7785,1092607.128,0,21084114.19,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFConsPerCap,0.582685019,0.183246027,0.173109368,0.01544039,0.028062842,1.46621158,2.448755226,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFConsTotGHA,22686433.81,7134555.919,6739892.206,601160.7869,1092607.128,57085922.66,95340572.5,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFExportsPerCap,0.006853572,4.40E-05,0.000506422,0.000189897,0,0.157116749,0.164710615,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFExportsTotGHA,266839.0422,1712.10619,19717.19359,7393.508057,0,6117230.761,6412892.611,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFImportsPerCap,0.386669,0.057580135,0.08756568,0.008051997,0,0.449382716,0.989249528,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFImportsTotGHA,15054687.15,2241842.311,3409308.505,313498.8808,0,17496401.84,38515738.68,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFProdPerCap,0.202869592,0.125709866,0.086050111,0.00757829,0.028062842,1.173945613,1.624216312,4675.89,38934000
Algeria,DZA,Africa,Northern Africa,2014,EFProdTotGHA,7898585.699,4894425.715,3350300.894,295055.4141,1092607.128,45706751.58,63237726.43,4675.89,38934000
Angola,AGO,Africa,Middle Africa,2014,BiocapPerCap,0.24950477,1.229495166,0.53937284,0.22470559,0.047258079,0,2.290336445,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,BiocapTotGHA,6044876.814,29787594.13,13067655.49,5444054.684,1144945.121,0,55489126.23,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFConsPerCap,0.383092755,0.095956366,0.110244086,0.147901522,0.047258079,0.774420571,1.55887338,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFConsTotGHA,9281379.723,2324782.859,2670938.6,3583284.121,1144945.121,18762274.38,37767604.8,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFExportsPerCap,0.001438365,4.24E-05,0.001496237,0.003579794,0,0.249768468,0.256325303,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFExportsTotGHA,34847.98749,1028.172165,36250.07667,86729.46953,0,6051265.57,6210121.276,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFImportsPerCap,0.13502635,0.017578311,0.008074705,0.058432891,0,0.737506387,0.956618644,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFImportsTotGHA,3271350.897,425878.5243,195629.9101,1415682.868,0,17867935.99,23176478.19,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFProdPerCap,0.24950477,0.078420494,0.103665618,0.093048425,0.047258079,0.286682652,0.858580039,3747.57,24228000
Angola,AGO,Africa,Middle Africa,2014,EFProdTotGHA,6044876.814,1899932.507,2511558.767,2254330.723,1144945.121,6945603.962,20801247.89,3747.57,24228000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,BiocapPerCap,,,,,,,0.933321582,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,BiocapTotGHA,,,,,,,84838.93322,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,,,,,,,4.184473747,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFConsTotGHA,,,,,,,380368.67,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFExportsPerCap,,,,,,,0.074638997,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFExportsTotGHA,,,,,,,6784.684909,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFImportsPerCap,,,,,,,2.069779545,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFImportsTotGHA,,,,,,,188142.9638,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFProdPerCap,,,,,,,2.189333199,12403.5,91000
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,2014,EFProdTotGHA,,,,,,,199010.3911,12403.5,91000
Argentina,ARG,Latin America and the Caribbean,South America,2014,BiocapPerCap,2.588882258,1.792340705,0.610837954,1.611977007,0.105008823,0,6.709046747,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,BiocapTotGHA,111270159.5,77034803.52,26253815.26,69282771.76,4513279.213,0,288354829.2,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFConsPerCap,1.129333625,0.842534073,0.245152102,0.086650911,0.105008823,1.281048741,3.689728277,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFConsTotGHA,48538759.22,36212114.47,10536637.34,3724256.17,4513279.213,55059474.91,158584521.3,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFExportsPerCap,1.48168885,0.17348472,0.030048929,0.12004079,0,0.587830525,2.393093814,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFExportsTotGHA,63682986.78,7456373.266,1291502.989,5159353.165,0,25264955.94,102855172.1,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFImportsPerCap,0.022140217,0.001015627,0.055719827,0.006431767,0,0.308943725,0.394251163,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFImportsTotGHA,951586.5476,43651.63074,2394838.175,276437.3311,0,13278401.31,16944914.99,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFProdPerCap,2.588882258,1.015003167,0.219481204,0.200259935,0.105008823,1.559935541,5.688570928,10323.2,42980000
Argentina,ARG,Latin America and the Caribbean,South America,2014,EFProdTotGHA,111270159.5,43624836.11,9433302.155,8607172.004,4513279.213,67046029.55,244494778.5,10323.2,42980000
Australia,AUS,Oceania,Australia and New Zealand,2014,BiocapPerCap,2.36218343,5.732847304,1.954944064,3.137665027,0.063370027,0,13.25100985,54394.3,23622000
Australia,AUS,Oceania,Australia and New Zealand,2014,BiocapTotGHA,55800442.78,135423614.4,46180471.43,74119179.56,1496952.141,0,313020660.3,54394.3,23622000
Australia,AUS,Oceania,Australia and New Zealand,2014,EFConsPerCap,0.679401215,0.458460156,0.862707379,0.121740908,0.063370027,4.700066732,6.885746416,54394.3,23622000
